Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/02/2025 00:00,CAPITL,61757,107.33,5.44,-2.91
02/02/2025 00:00,CENTRL,61754,96.80,-2.18,0.00
02/02/2025 00:00,DUNWOD,61760,103.67,4.35,-0.34
02/02/2025 00:00,GENESE,61753,92.15,-6.83,0.00
02/02/2025 00:00,H Q,61844,99.48,0.50,0.00
02/02/2025 00:00,HUD VL,61758,103.35,3.96,-0.41
02/02/2025 00:00,LONGIL,61762,107.29,6.43,-1.88
02/02/2025 00:00,MHK VL,61756,103.44,4.25,-0.21
02/02/2025 00:00,MILLWD,61759,103.88,4.56,-0.34
02/02/2025 00:00,N.Y.C.,61761,103.47,4.16,-0.34
02/02/2025 00:00,NORTH,61755,100.96,1.98,0.00
02/02/2025 00:00,NPX,61845,111.41,4.25,-8.18
02/02/2025 00:00,O H,61846,87.10,-11.88,0.00
02/02/2025 00:00,PJM,61847,46.87,-2.97,49.14
02/02/2025 00:00,WEST,61752,88.79,-10.19,0.00
02/02/2025 01:00,CAPITL,61757,101.67,4.84,-7.22
02/02/2025 01:00,CENTRL,61754,87.46,-2.15,0.00
02/02/2025 01:00,DUNWOD,61760,94.12,3.68,-0.83
02/02/2025 01:00,GENESE,61753,83.16,-6.45,0.00
02/02/2025 01:00,H Q,61844,90.33,0.71,0.00
02/02/2025 01:00,HUD VL,61758,94.12,3.49,-1.01
02/02/2025 01:00,LONGIL,61762,100.83,5.65,-5.56
02/02/2025 01:00,MHK VL,61756,93.98,3.85,-0.51
02/02/2025 01:00,MILLWD,61759,94.40,3.94,-0.84
02/02/2025 01:00,N.Y.C.,61761,92.84,3.40,0.17
02/02/2025 01:00,NORTH,61755,91.94,2.33,0.00
02/02/2025 01:00,NPX,61845,107.16,3.76,-13.78
02/02/2025 01:00,O H,61846,78.34,-11.03,0.25
02/02/2025 01:00,PJM,61847,43.20,-2.96,43.46
02/02/2025 01:00,WEST,61752,80.03,-9.59,0.00
02/02/2025 02:00,CAPITL,61757,88.64,4.10,-8.57
