Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/03/2026 00:00,CAPITL,61757,64.82,3.03,0.00
03/03/2026 00:00,CENTRL,61754,60.06,-1.73,0.00
03/03/2026 00:00,DUNWOD,61760,64.94,3.15,0.00
03/03/2026 00:00,GENESE,61753,57.71,-4.08,0.00
03/03/2026 00:00,H Q,61844,62.28,0.49,0.00
03/03/2026 00:00,HUD VL,61758,64.32,2.53,0.00
03/03/2026 00:00,LONGIL,61762,65.99,4.20,0.00
03/03/2026 00:00,MHK VL,61756,63.27,1.48,0.00
03/03/2026 00:00,MILLWD,61759,64.69,2.90,0.00
03/03/2026 00:00,N.Y.C.,61761,65.31,3.52,0.00
03/03/2026 00:00,NORTH,61755,62.77,0.99,0.00
03/03/2026 00:00,NPX,61845,95.20,2.59,-30.82
03/03/2026 00:00,O H,61846,54.06,-7.73,0.00
03/03/2026 00:00,PJM,61847,54.89,-1.73,5.17
03/03/2026 00:00,WEST,61752,55.11,-6.67,0.00
03/03/2026 01:00,CAPITL,61757,62.50,2.98,0.00
03/03/2026 01:00,CENTRL,61754,57.98,-1.55,0.00
03/03/2026 01:00,DUNWOD,61760,62.32,2.80,0.00
03/03/2026 01:00,GENESE,61753,55.66,-3.87,0.00
03/03/2026 01:00,H Q,61844,60.00,0.47,0.00
03/03/2026 01:00,HUD VL,61758,61.85,2.32,0.00
03/03/2026 01:00,LONGIL,61762,63.16,3.63,0.00
03/03/2026 01:00,MHK VL,61756,60.95,1.43,0.00
03/03/2026 01:00,MILLWD,61759,62.14,2.62,0.00
03/03/2026 01:00,N.Y.C.,61761,62.68,3.15,0.00
03/03/2026 01:00,NORTH,61755,60.54,1.01,0.00
03/03/2026 01:00,NPX,61845,91.40,2.50,-29.37
03/03/2026 01:00,O H,61846,52.32,-7.20,0.00
03/03/2026 01:00,PJM,61847,53.42,-1.67,4.44
03/03/2026 01:00,WEST,61752,53.28,-6.25,0.00
03/03/2026 02:00,CAPITL,61757,59.57,2.78,0.00
03/03/2026 02:00,CENTRL,61754,55.31,-1.48,0.00
03/03/2026 02:00,DUNWOD,61760,59.46,2.67,0.00
03/03/2026 02:00,GENESE,61753,53.15,-3.64,0.00
03/03/2026 02:00,H Q,61844,57.30,0.51,0.00
03/03/2026 02:00,HUD VL,61758,59.00,2.21,0.00
03/03/2026 02:00,LONGIL,61762,60.65,3.86,0.00
03/03/2026 02:00,MHK VL,61756,58.10,1.31,0.00
03/03/2026 02:00,MILLWD,61759,59.29,2.50,0.00
03/03/2026 02:00,N.Y.C.,61761,59.74,2.95,0.00
03/03/2026 02:00,NORTH,61755,57.75,0.96,0.00
03/03/2026 02:00,NPX,61845,82.90,2.33,-23.78
03/03/2026 02:00,O H,61846,49.97,-6.82,0.00
03/03/2026 02:00,PJM,61847,50.20,-1.59,5.00
03/03/2026 02:00,WEST,61752,50.88,-5.91,0.00
03/03/2026 03:00,CAPITL,61757,59.26,2.82,0.00
03/03/2026 03:00,CENTRL,61754,55.08,-1.35,0.00
03/03/2026 03:00,DUNWOD,61760,58.98,2.54,0.00
03/03/2026 03:00,GENESE,61753,53.05,-3.38,0.00
03/03/2026 03:00,H Q,61844,56.88,0.45,0.00
03/03/2026 03:00,HUD VL,61758,58.58,2.14,0.00
03/03/2026 03:00,LONGIL,61762,59.99,3.56,0.00
03/03/2026 03:00,MHK VL,61756,57.79,1.35,0.00
03/03/2026 03:00,MILLWD,61759,58.86,2.43,0.00
03/03/2026 03:00,N.Y.C.,61761,59.20,2.76,0.00
03/03/2026 03:00,NORTH,61755,57.39,0.96,0.00
03/03/2026 03:00,NPX,61845,74.00,2.31,-15.25
03/03/2026 03:00,O H,61846,49.95,-6.49,0.00
03/03/2026 03:00,PJM,61847,49.80,-1.52,5.11
03/03/2026 03:00,WEST,61752,50.91,-5.53,0.00
03/03/2026 04:00,CAPITL,61757,58.77,2.74,0.00
03/03/2026 04:00,CENTRL,61754,54.73,-1.29,0.00
03/03/2026 04:00,DUNWOD,61760,58.37,2.35,0.00
03/03/2026 04:00,GENESE,61753,52.72,-3.31,0.00
03/03/2026 04:00,H Q,61844,56.52,0.50,0.00
03/03/2026 04:00,HUD VL,61758,58.03,2.01,0.00
03/03/2026 04:00,LONGIL,61762,59.04,3.02,0.00
03/03/2026 04:00,MHK VL,61756,57.53,1.51,0.00
03/03/2026 04:00,MILLWD,61759,58.32,2.30,0.00
03/03/2026 04:00,N.Y.C.,61761,58.65,2.63,0.00
03/03/2026 04:00,NORTH,61755,57.08,1.06,0.00
03/03/2026 04:00,NPX,61845,81.76,2.24,-23.50
03/03/2026 04:00,O H,61846,49.69,-6.33,0.00
03/03/2026 04:00,PJM,61847,49.50,-1.51,5.01
03/03/2026 04:00,WEST,61752,50.64,-5.38,0.00
03/03/2026 05:00,CAPITL,61757,65.75,3.06,-1.54
03/03/2026 05:00,CENTRL,61754,59.45,-1.35,0.36
03/03/2026 05:00,DUNWOD,61760,71.91,2.88,-7.87
03/03/2026 05:00,GENESE,61753,57.16,-3.73,0.27
03/03/2026 05:00,H Q,61844,63.50,0.49,-1.85
03/03/2026 05:00,HUD VL,61758,58.03,2.32,5.45
03/03/2026 05:00,LONGIL,61762,72.72,3.73,-7.83
03/03/2026 05:00,MHK VL,61756,62.08,1.77,0.86
03/03/2026 05:00,MILLWD,61759,70.46,2.75,-6.54
03/03/2026 05:00,N.Y.C.,61761,71.88,2.88,-7.85
03/03/2026 05:00,NORTH,61755,62.08,0.92,0.00
03/03/2026 05:00,NPX,61845,94.72,2.38,-31.18
03/03/2026 05:00,O H,61846,52.98,-7.83,0.35
03/03/2026 05:00,PJM,61847,52.13,-1.90,7.13
03/03/2026 05:00,WEST,61752,54.30,-6.48,0.38
03/03/2026 06:00,CAPITL,61757,76.36,3.14,-1.66
03/03/2026 06:00,CENTRL,61754,69.73,-1.43,0.39
03/03/2026 06:00,DUNWOD,61760,83.37,3.29,-8.53
03/03/2026 06:00,GENESE,61753,67.11,-4.15,0.29
03/03/2026 06:00,H Q,61844,85.00,0.64,-12.81
03/03/2026 06:00,HUD VL,61758,68.15,2.50,5.91
03/03/2026 06:00,LONGIL,61762,84.33,4.29,-8.48
03/03/2026 06:00,MHK VL,61756,73.27,2.65,0.93
03/03/2026 06:00,MILLWD,61759,81.78,3.14,-7.09
03/03/2026 06:00,N.Y.C.,61761,83.27,3.22,-8.50
03/03/2026 06:00,NORTH,61755,72.91,1.36,0.00
03/03/2026 06:00,NPX,61845,132.33,2.65,-58.13
03/03/2026 06:00,O H,61846,61.94,-9.23,0.38
03/03/2026 06:00,PJM,61847,63.31,-2.22,6.02
03/03/2026 06:00,WEST,61752,63.85,-7.30,0.41
03/03/2026 07:00,CAPITL,61757,83.16,3.67,-1.42
03/03/2026 07:00,CENTRL,61754,76.21,-1.49,0.38
03/03/2026 07:00,DUNWOD,61760,90.36,4.06,-8.23
03/03/2026 07:00,GENESE,61753,73.73,-4.06,0.28
03/03/2026 07:00,H Q,61844,78.62,0.55,0.00
03/03/2026 07:00,HUD VL,61758,75.54,3.13,5.66
03/03/2026 07:00,LONGIL,61762,90.71,4.45,-8.19
03/03/2026 07:00,MHK VL,61756,79.84,2.66,0.88
03/03/2026 07:00,MILLWD,61759,88.69,3.82,-6.80
03/03/2026 07:00,N.Y.C.,61761,90.41,4.13,-8.21
03/03/2026 07:00,NORTH,61755,79.32,1.25,0.00
03/03/2026 07:00,NPX,61845,150.00,2.89,-69.04
03/03/2026 07:00,O H,61846,68.10,-9.61,0.37
03/03/2026 07:00,PJM,61847,70.12,-2.19,5.77
03/03/2026 07:00,WEST,61752,70.11,-7.57,0.39
03/03/2026 08:00,CAPITL,61757,83.04,3.57,-3.52
03/03/2026 08:00,CENTRL,61754,73.58,-1.45,0.93
03/03/2026 08:00,DUNWOD,61760,101.58,5.24,-20.39
03/03/2026 08:00,GENESE,61753,71.39,-3.87,0.68
03/03/2026 08:00,H Q,61844,75.95,0.00,0.00
03/03/2026 08:00,HUD VL,61758,65.58,4.02,14.39
03/03/2026 08:00,LONGIL,61762,101.86,5.62,-20.29
03/03/2026 08:00,MHK VL,61756,76.09,2.36,2.22
03/03/2026 08:00,MILLWD,61759,97.61,4.87,-16.79
03/03/2026 08:00,N.Y.C.,61761,101.67,5.39,-20.33
03/03/2026 08:00,NORTH,61755,76.41,0.46,0.00
03/03/2026 08:00,NPX,61845,111.70,3.42,-32.33
03/03/2026 08:00,O H,61846,65.93,-9.12,0.91
03/03/2026 08:00,PJM,61847,60.29,-1.36,14.29
03/03/2026 08:00,WEST,61752,67.76,-7.22,0.97
03/03/2026 09:00,CAPITL,61757,82.34,3.68,-3.57
03/03/2026 09:00,CENTRL,61754,72.23,-1.95,0.91
03/03/2026 09:00,DUNWOD,61760,103.19,5.56,-22.55
03/03/2026 09:00,GENESE,61753,70.06,-4.36,0.67
03/03/2026 09:00,H Q,61844,75.16,0.08,0.00
03/03/2026 09:00,HUD VL,61758,64.09,4.20,15.20
03/03/2026 09:00,LONGIL,61762,103.37,5.86,-22.42
03/03/2026 09:00,MHK VL,61756,74.49,1.58,2.18
03/03/2026 09:00,MILLWD,61759,98.51,5.18,-18.24
03/03/2026 09:00,N.Y.C.,61761,103.35,5.78,-22.47
03/03/2026 09:00,NORTH,61755,75.69,0.60,0.00
03/03/2026 09:00,NPX,61845,90.80,3.60,-12.11
03/03/2026 09:00,O H,61846,64.13,-10.06,0.90
03/03/2026 09:00,PJM,61847,58.93,-1.65,14.51
03/03/2026 09:00,WEST,61752,65.79,-8.34,0.96
03/03/2026 10:00,CAPITL,61757,71.23,3.02,-1.15
03/03/2026 10:00,CENTRL,61754,65.25,-1.81,0.00
03/03/2026 10:00,DUNWOD,61760,106.00,4.16,-34.78
03/03/2026 10:00,GENESE,61753,63.10,-3.96,0.00
03/03/2026 10:00,H Q,61844,67.46,0.40,0.00
03/03/2026 10:00,HUD VL,61758,62.78,2.88,7.16
03/03/2026 10:00,LONGIL,61762,106.03,4.56,-34.41
03/03/2026 10:00,MHK VL,61756,68.60,1.54,0.00
03/03/2026 10:00,MILLWD,61759,94.90,3.82,-24.02
03/03/2026 10:00,N.Y.C.,61761,105.87,4.23,-34.58
03/03/2026 10:00,NORTH,61755,68.20,1.14,0.00
03/03/2026 10:00,NPX,61845,72.20,2.55,-2.60
03/03/2026 10:00,O H,61846,57.60,-9.45,0.00
03/03/2026 10:00,PJM,61847,59.61,-2.08,5.36
03/03/2026 10:00,WEST,61752,59.21,-7.85,0.00
03/03/2026 11:00,CAPITL,61757,70.84,2.87,-1.17
03/03/2026 11:00,CENTRL,61754,65.00,-1.80,0.00
03/03/2026 11:00,DUNWOD,61760,106.20,4.28,-35.12
03/03/2026 11:00,GENESE,61753,63.13,-3.67,0.00
03/03/2026 11:00,H Q,61844,67.20,0.40,0.00
03/03/2026 11:00,HUD VL,61758,62.58,3.01,7.23
03/03/2026 11:00,LONGIL,61762,106.02,4.48,-34.75
03/03/2026 11:00,MHK VL,61756,68.34,1.54,0.00
03/03/2026 11:00,MILLWD,61759,95.00,3.94,-24.26
03/03/2026 11:00,N.Y.C.,61761,106.00,4.28,-34.92
03/03/2026 11:00,NORTH,61755,67.87,1.07,0.00
03/03/2026 11:00,NPX,61845,71.90,2.47,-2.62
03/03/2026 11:00,O H,61846,57.31,-9.49,0.01
03/03/2026 11:00,PJM,61847,59.31,-2.07,5.42
03/03/2026 11:00,WEST,61752,58.91,-7.88,0.01
03/03/2026 12:00,CAPITL,61757,69.20,2.87,-1.10
03/03/2026 12:00,CENTRL,61754,63.41,-1.83,0.00
03/03/2026 12:00,DUNWOD,61760,102.46,4.18,-33.05
03/03/2026 12:00,GENESE,61753,61.19,-4.04,0.00
03/03/2026 12:00,H Q,61844,65.69,0.46,0.00
03/03/2026 12:00,HUD VL,61758,60.96,2.94,7.21
03/03/2026 12:00,LONGIL,61762,102.88,4.96,-32.70
03/03/2026 12:00,MHK VL,61756,66.67,1.43,0.00
03/03/2026 12:00,MILLWD,61759,91.82,3.78,-22.80
03/03/2026 12:00,N.Y.C.,61761,102.27,4.18,-32.86
03/03/2026 12:00,NORTH,61755,66.41,1.18,0.00
03/03/2026 12:00,NPX,61845,70.18,2.48,-2.47
03/03/2026 12:00,O H,61846,55.84,-9.39,0.00
03/03/2026 12:00,PJM,61847,55.50,-2.02,7.71
